               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11716,            0.057386,            0.053889,           0.0050149,           0.0049383,           0.0021208,          0.00036469,             0.11401,            0.046678,            0.054277,               9e-05,               9e-05,             0.09919
                   1,             0.10932,            0.057782,             0.05217,           0.0065848,            0.029554,           0.0040454,          0.00064784,             0.10527,            0.050186,            0.052009,          0.00018996,          0.00018996,             0.09829
                   2,             0.10384,            0.064984,            0.049978,            0.012673,            0.091494,           0.0076661,           0.0013692,            0.098894,            0.053185,            0.049669,          0.00028974,          0.00028974,             0.09739
                   3,            0.098481,            0.063639,            0.047854,            0.034365,            0.097914,            0.023374,           0.0038381,            0.093766,            0.054844,            0.047212,          0.00038922,          0.00038922,            0.096489
                   4,            0.094773,            0.072371,            0.045499,              0.2782,            0.099702,            0.064233,            0.011653,            0.089526,            0.054356,            0.044835,          0.00048826,          0.00048826,            0.095588
                   5,            0.089605,            0.067242,            0.043598,             0.82674,             0.13177,              0.1448,            0.038245,            0.085425,             0.05276,            0.042926,          0.00058673,          0.00058673,            0.094687
                   6,            0.084099,              0.0658,            0.041548,             0.76825,             0.18927,             0.16394,            0.048543,            0.082007,            0.051237,            0.041365,           0.0006845,           0.0006845,            0.093785
                   7,             0.07828,             0.06126,             0.03951,             0.47643,             0.33306,             0.21742,            0.055896,            0.079044,            0.049731,            0.039731,          0.00078144,          0.00078144,            0.092881
                   8,            0.075769,            0.060434,            0.038092,              0.4962,             0.30131,             0.23108,            0.055245,            0.075585,            0.047636,            0.037582,          0.00087742,          0.00087742,            0.091977
                   9,            0.070297,            0.055518,            0.036313,             0.17163,             0.37298,             0.21434,            0.054618,            0.072798,            0.044488,            0.035566,          0.00097231,          0.00097231,            0.091072
                  10,            0.068389,            0.056126,            0.034773,             0.39378,             0.32017,             0.20446,            0.055988,            0.071725,            0.042855,             0.03361,            0.001066,            0.001066,            0.090166
                  11,            0.066926,            0.056034,            0.033526,             0.45393,             0.31517,             0.26899,            0.088466,            0.069004,            0.040803,            0.031968,           0.0011583,           0.0011583,            0.089258
                  12,            0.066171,            0.050135,            0.032285,             0.69495,             0.28007,             0.27927,            0.084973,             0.07045,            0.038467,            0.030225,           0.0012492,           0.0012492,            0.088349
                  13,            0.065203,             0.05103,            0.030123,             0.59262,             0.33776,             0.23511,            0.082752,            0.073202,             0.03789,            0.028986,           0.0013386,           0.0013386,            0.087439
                  14,            0.064351,            0.050918,            0.029013,             0.64532,             0.29272,             0.27256,             0.09118,            0.072285,            0.036731,            0.027222,           0.0014262,           0.0014262,            0.086526
                  15,            0.063421,            0.047973,            0.027286,             0.40215,             0.52282,             0.38138,             0.12707,            0.064402,            0.036772,            0.025684,            0.001512,            0.001512,            0.085612
                  16,            0.062499,            0.045644,            0.026802,             0.61421,             0.34266,             0.27594,            0.089772,            0.069599,            0.035236,            0.024084,           0.0015959,           0.0015959,            0.084696
                  17,            0.063302,            0.044734,            0.025606,             0.46382,             0.48694,             0.31385,             0.11136,            0.076149,            0.033271,            0.022927,           0.0016778,           0.0016778,            0.083778
                  18,            0.062511,            0.042488,            0.023745,              0.6608,             0.33343,             0.34554,             0.11524,            0.066303,            0.034516,             0.02132,           0.0017576,           0.0017576,            0.082858
                  19,            0.061661,            0.044225,            0.022591,             0.36176,             0.58455,             0.41349,             0.14915,            0.064019,            0.034807,            0.020223,           0.0018352,           0.0018352,            0.081935
                  20,            0.060002,             0.04319,            0.021662,             0.24715,             0.69838,             0.39789,             0.14969,            0.068277,            0.033322,            0.019524,           0.0019104,           0.0019104,             0.08101
                  21,            0.061368,            0.043822,            0.021155,             0.31217,              0.6159,             0.42024,             0.17219,            0.067214,            0.032595,              0.0188,           0.0019832,           0.0019832,            0.080083
                  22,            0.058632,            0.041515,            0.020074,             0.37664,             0.68386,             0.44216,             0.15334,            0.065579,            0.032641,            0.018543,           0.0020535,           0.0020535,            0.079154
                  23,            0.058409,            0.040844,            0.020302,             0.44701,             0.69924,             0.55797,             0.25504,            0.058338,            0.032932,            0.017756,           0.0021212,           0.0021212,            0.078221
                  24,            0.059071,            0.045344,            0.019117,              0.4379,             0.69283,             0.56438,             0.21322,            0.063753,            0.032295,            0.017143,           0.0021863,           0.0021863,            0.077286
                  25,            0.057434,            0.042294,            0.018744,             0.35857,             0.66468,             0.50957,             0.21252,            0.058023,            0.032556,            0.016798,           0.0022486,           0.0022486,            0.076349
                  26,            0.056457,            0.040951,            0.017368,             0.43717,             0.66399,             0.57276,             0.25646,             0.05656,            0.032387,            0.016732,           0.0023081,           0.0023081,            0.075408
                  27,            0.055023,            0.038765,            0.017064,              0.3417,             0.70702,             0.51064,             0.21508,            0.059183,            0.031694,            0.016284,           0.0023648,           0.0023648,            0.074465
                  28,            0.056154,            0.039854,            0.017201,             0.48986,             0.72243,             0.62871,             0.29053,             0.05658,            0.032276,            0.016081,           0.0024185,           0.0024185,            0.073518
                  29,            0.055409,            0.040037,            0.016906,             0.47857,             0.69354,             0.58456,             0.26991,            0.055414,            0.031718,            0.015611,           0.0024692,           0.0024692,            0.072569
                  30,            0.055387,            0.037313,            0.016577,             0.47872,             0.75135,             0.63822,             0.27441,            0.056629,            0.031063,            0.015399,           0.0025168,           0.0025168,            0.071617
                  31,            0.053555,            0.038435,            0.015514,             0.40713,              0.7508,             0.57014,             0.24294,            0.058084,             0.03095,            0.015218,           0.0025614,           0.0025614,            0.070661
                  32,            0.053938,            0.040242,            0.016044,             0.55158,             0.72359,             0.70524,             0.33203,            0.052835,            0.030884,            0.015122,           0.0026028,           0.0026028,            0.069703
                  33,             0.05217,             0.03892,            0.015056,             0.45181,             0.68687,             0.57861,             0.27204,            0.057631,            0.030531,            0.014597,            0.002641,            0.002641,            0.068741
                  34,             0.05211,            0.038367,            0.014663,             0.57905,             0.71058,             0.67437,             0.31522,            0.058598,            0.030704,            0.014827,           0.0026761,           0.0026761,            0.067776
                  35,            0.052768,            0.039758,            0.015526,             0.50038,             0.67554,             0.58502,             0.27843,            0.060002,            0.030349,            0.014268,           0.0027079,           0.0027079,            0.066808
                  36,            0.052703,            0.039158,            0.014076,             0.45355,             0.74427,             0.60362,              0.2529,            0.058019,            0.031259,            0.014279,           0.0027365,           0.0027365,            0.065837
                  37,            0.051812,            0.038002,            0.013983,             0.55548,             0.72982,             0.67143,             0.27963,            0.055983,            0.032283,            0.014686,           0.0027618,           0.0027618,            0.064862
                  38,            0.049713,             0.03872,            0.014095,             0.72747,             0.66751,             0.73276,             0.37826,            0.050291,            0.029848,            0.013677,           0.0027839,           0.0027839,            0.063884
                  39,            0.049677,             0.03774,             0.01317,             0.56542,             0.70766,             0.62793,             0.25445,            0.056491,              0.0309,            0.013948,           0.0028027,           0.0028027,            0.062903
                  40,            0.048882,            0.038762,            0.012793,             0.64782,             0.73304,             0.71344,             0.31408,             0.05197,             0.03075,            0.013614,           0.0028182,           0.0028182,            0.061918
                  41,            0.047978,            0.037117,             0.01275,             0.65674,             0.68369,             0.73326,             0.37793,            0.050988,            0.031003,             0.01372,           0.0028305,           0.0028305,            0.060931
                  42,            0.047473,            0.035987,            0.013139,             0.65044,             0.67238,              0.6613,             0.32392,            0.056904,            0.030321,            0.013282,           0.0028396,           0.0028396,             0.05994
                  43,            0.047373,            0.035516,            0.012705,             0.64151,             0.74856,             0.72026,             0.32272,              0.0544,             0.02994,            0.013247,           0.0028454,           0.0028454,            0.058945
                  44,            0.047337,            0.036263,            0.012348,             0.58186,             0.73593,             0.69664,             0.33292,            0.055167,            0.029891,            0.012727,           0.0028481,           0.0028481,            0.057948
                  45,            0.047414,             0.03811,            0.012083,             0.63491,             0.73431,             0.69117,             0.31748,            0.053217,            0.030108,            0.012933,           0.0028476,           0.0028476,            0.056948
                  46,            0.044993,            0.034132,            0.011682,             0.65076,             0.74197,              0.7378,             0.39927,            0.050201,            0.031038,            0.012629,            0.002844,            0.002844,            0.055944
                  47,            0.045533,            0.034807,            0.012282,             0.66271,             0.74833,             0.72896,             0.36199,            0.052549,            0.030736,            0.012392,           0.0028374,           0.0028374,            0.054937
                  48,            0.045746,            0.035885,             0.01127,             0.70147,             0.70589,             0.72277,             0.35369,            0.052066,            0.032049,            0.012505,           0.0028277,           0.0028277,            0.053928
                  49,            0.045804,            0.035474,            0.011262,             0.71024,             0.76844,             0.73874,             0.34224,            0.054239,            0.030896,            0.012691,            0.002815,            0.002815,            0.052915
                  50,            0.058438,            0.036948,            0.011715,             0.72787,             0.76501,             0.76669,             0.35643,            0.052663,            0.030179,             0.01272,           0.0027995,           0.0027995,              0.0519
                  51,            0.055025,            0.037191,            0.011604,             0.71112,             0.75979,              0.7803,             0.38112,            0.051351,             0.02984,            0.012566,           0.0027811,           0.0027811,            0.050881
                  52,            0.053682,            0.040516,            0.011677,             0.72189,             0.78885,             0.77973,             0.42053,            0.048738,            0.030116,             0.01294,             0.00276,             0.00276,             0.04986
                  53,            0.049822,            0.034659,            0.011247,             0.65831,             0.71764,             0.68358,             0.32041,            0.053761,            0.030849,            0.012589,           0.0027362,           0.0027362,            0.048836
                  54,            0.052145,               0.035,            0.011222,             0.71511,             0.78517,             0.79299,             0.40522,            0.048852,            0.030717,            0.012383,           0.0027099,           0.0027099,             0.04781
                  55,            0.048603,            0.033474,            0.011008,             0.78634,             0.80025,             0.81317,             0.45938,            0.046328,            0.029708,            0.012245,            0.002681,            0.002681,            0.046781
                  56,            0.048666,            0.033649,            0.011168,             0.82186,             0.72121,             0.79944,              0.4286,            0.047484,            0.030903,            0.012664,           0.0026497,           0.0026497,             0.04575
                  57,            0.047086,             0.03526,            0.011348,             0.79969,             0.79174,             0.82047,             0.45371,            0.046564,            0.030195,            0.012309,           0.0026161,           0.0026161,            0.044716
                  58,            0.046344,             0.03297,            0.010726,             0.78755,             0.75847,             0.80769,             0.44572,            0.047554,            0.030848,            0.012129,           0.0025803,           0.0025803,             0.04368
                  59,            0.046928,            0.032235,            0.010866,             0.88847,             0.80911,             0.86672,             0.49013,            0.045446,            0.032771,            0.012615,           0.0025425,           0.0025425,            0.042642
                  60,             0.04582,            0.033063,            0.010818,             0.91199,              0.7882,             0.85645,             0.49399,             0.04529,            0.030139,             0.01203,           0.0025026,           0.0025026,            0.041603
                  61,            0.045059,            0.033192,            0.010239,             0.88427,             0.79412,             0.85808,             0.51691,            0.044224,            0.030943,            0.012272,           0.0024609,           0.0024609,            0.040561
                  62,             0.04525,            0.031778,           0.0099831,             0.91813,             0.77306,             0.84665,             0.51662,            0.044543,            0.031073,            0.012012,           0.0024175,           0.0024175,            0.039518
                  63,            0.045392,            0.033624,             0.01063,             0.85575,             0.77905,             0.83607,             0.48634,            0.046099,            0.031923,            0.012213,           0.0023725,           0.0023725,            0.038473
                  64,            0.043549,            0.031416,           0.0098311,             0.87755,             0.79302,             0.84515,             0.50528,            0.045181,            0.032004,            0.012011,            0.002326,            0.002326,            0.037426
                  65,            0.044346,            0.034891,           0.0097995,             0.94006,             0.75542,             0.85663,             0.52174,             0.04389,            0.031093,            0.012079,           0.0022782,           0.0022782,            0.036378
                  66,            0.042671,            0.031336,            0.010138,             0.85989,             0.79242,             0.85288,             0.50824,            0.044444,            0.031621,            0.011969,           0.0022292,           0.0022292,            0.035329
                  67,            0.041222,            0.032848,             0.00975,             0.93585,             0.79459,             0.86994,             0.52989,            0.042976,            0.030449,             0.01205,           0.0021791,           0.0021791,            0.034279
                  68,            0.040979,            0.031037,           0.0091478,              0.8784,             0.75942,              0.8407,             0.49375,            0.045255,            0.032537,            0.012687,           0.0021282,           0.0021282,            0.033228
                  69,            0.042294,             0.03092,           0.0098589,             0.89109,              0.7817,             0.85177,              0.4976,            0.045445,            0.030451,            0.011662,           0.0020765,           0.0020765,            0.032176
                  70,            0.043124,            0.033482,           0.0093285,             0.92573,             0.78551,              0.8661,             0.49469,            0.045003,             0.02998,            0.011999,           0.0020242,           0.0020242,            0.031124
                  71,            0.041621,            0.028502,           0.0094553,             0.90502,             0.79235,              0.8615,             0.52089,            0.043316,            0.030605,            0.011573,           0.0019714,           0.0019714,            0.030071
                  72,            0.041137,             0.03129,           0.0092695,             0.88887,             0.80687,             0.85538,             0.45527,            0.045332,            0.031664,            0.011896,           0.0019184,           0.0019184,            0.029018
                  73,            0.038954,            0.029611,           0.0093568,             0.86515,             0.82831,              0.8732,             0.52735,            0.043841,            0.032075,             0.01165,           0.0018653,           0.0018653,            0.027965
                  74,            0.039115,              0.0312,           0.0094235,             0.89603,             0.80768,             0.87156,             0.52982,            0.042097,            0.030841,            0.011426,           0.0018122,           0.0018122,            0.026912
                  75,            0.036215,             0.02936,            0.008685,             0.94311,             0.79849,             0.88372,             0.53473,            0.042709,            0.030115,            0.011401,           0.0017594,           0.0017594,            0.025859
                  76,             0.03693,            0.028337,           0.0082857,             0.91197,             0.82662,             0.88003,             0.55025,            0.041681,            0.029798,            0.011518,           0.0017069,           0.0017069,            0.024807
                  77,            0.037726,            0.030262,           0.0088207,             0.91367,             0.80747,             0.86385,             0.51767,            0.044234,            0.031177,            0.011775,            0.001655,            0.001655,            0.023755
                  78,            0.038739,            0.030754,           0.0082911,             0.89779,             0.82046,             0.86527,              0.5318,            0.042619,            0.030402,            0.011729,           0.0016038,           0.0016038,            0.022704
                  79,            0.037185,            0.028604,           0.0081183,             0.93208,             0.79991,             0.86233,             0.52867,            0.044328,            0.031532,            0.011864,           0.0015535,           0.0015535,            0.021653
                  80,            0.036821,            0.029735,            0.008799,             0.94507,             0.80387,             0.87616,             0.53148,            0.042552,            0.031163,            0.011666,           0.0015043,           0.0015043,            0.020604
                  81,            0.036889,            0.029892,           0.0082032,             0.95287,             0.80782,             0.87749,             0.52573,            0.042607,            0.030825,            0.011578,           0.0014563,           0.0014563,            0.019556
                  82,            0.034556,            0.029707,           0.0078339,             0.92729,             0.80435,             0.86043,             0.53364,            0.042664,            0.031085,            0.011791,           0.0014097,           0.0014097,             0.01851
                  83,            0.036251,            0.028173,           0.0081397,             0.92942,             0.81918,             0.87796,             0.56631,            0.041445,            0.031645,            0.011253,           0.0013648,           0.0013648,            0.017465
